Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.8382,0.8913,0.5771,0.718,0.6397,0.5369,0.5424,3.242
Light Gradient Boosting Machine,0.8382,0.89,0.6088,0.7021,0.6518,0.5471,0.5497,1.558
Ada Boost Classifier,0.8345,0.8889,0.5803,0.7039,0.6357,0.5299,0.5343,1.113
Extreme Gradient Boosting,0.8323,0.8836,0.601,0.6872,0.6408,0.5322,0.5345,0.73
Ridge Classifier,0.8288,0.8794,0.5105,0.7207,0.5974,0.4927,0.5047,0.327
Linear Discriminant Analysis,0.8286,0.8794,0.5636,0.6914,0.6207,0.5115,0.5161,0.687
Logistic Regression,0.8277,0.8759,0.5474,0.6964,0.6127,0.504,0.5102,3.172
Random Forest Classifier,0.8223,0.8692,0.5746,0.6665,0.6166,0.5019,0.5046,2.686
Extra Trees Classifier,0.8061,0.8503,0.5706,0.6205,0.5941,0.4671,0.468,3.38
Naive Bayes,0.7769,0.8105,0.183,0.6976,0.2895,0.2078,0.274,0.465
Decision Tree Classifier,0.771,0.6991,0.5552,0.5393,0.5469,0.3938,0.394,0.43
Dummy Classifier,0.7511,0.5,0.0,0.0,0.0,0.0,0.0,0.299
K Neighbors Classifier,0.7128,0.565,0.1845,0.3537,0.2424,0.0863,0.0933,0.898
SVM - Linear Kernel,0.5,0.5003,0.5,0.1245,0.1993,0.0,0.0,1.155
Quadratic Discriminant Analysis,0.4687,0.7941,0.9465,0.3148,0.4714,0.1557,0.2605,0.519
